sponsor_zip,total,lat,lng,major_city,state
54412,2,44.7,-90,Auburndale,WI
54414,1,45,-89.2,Birnamwood,WI
54416,2,45,-88.9,Bowler,WI
54421,3,44.9,-90.3,Colby,WI
54422,5,45,-90.4,Curtiss,WI
54425,6,45,-90.3,Dorchester,WI
54441,1,44.64,-90.11,Hewitt,WI
54446,5,44.8,-90.5,Loyal,WI
54448,2,44.9,-89.8,Marathon,WI
54449,6,44.6,-90.2,Marshfield,WI
54450,2,45.01,-89.04,Mattoon,WI
54451,6,45.2,-90.4,Medford,WI
54452,1,45.2,-89.7,Merrill,WI
54454,5,44.6,-89.9,Milladore,WI
54455,1,44.8,-89.7,Mosinee,WI
54456,3,44.6,-90.6,Neillsville,WI
54457,4,44.2,-89.8,Nekoosa,WI
